trans_id,lang,translation
挾間小学校前,ja,挾間小学校前
挾間小学校前,zh-cn,挾间小学校前
挾間小学校前,zh-tw,挾間小學校前
挾間小学校前,ko,사이마 초등학교 앞
挾間小学校前,ja-Hrkt,はさましょうがっこうまえ
挾間小学校前,en,Hasamashogakkou mae
下檪木,ja,下檪木
下檪木,zh-cn,下檪木
下檪木,zh-tw,下檪木
下檪木,ko,시모키
下檪木,ja-Hrkt,しもいちぎ
下檪木,en,Shimoichigi
高津野,ja,高津野
高津野,zh-cn,高津野
高津野,zh-tw,高津野
高津野,ko,다카쓰노
高津野,ja-Hrkt,こうづの
高津野,en,Kozuno
庄内中学校,ja,庄内中学校
庄内中学校,zh-cn,庄内中学
庄内中学校,zh-tw,莊內中學
庄内中学校,ko,쇼나이 중학교
庄内中学校,ja-Hrkt,しょうないちゅうがっこう
庄内中学校,en,Shonaichugakkou
上重,ja,上重
上重,zh-cn,上重
上重,zh-tw,上重
上重,ko,상중
上重,ja-Hrkt,あげじゅう
上重,en,Agejyu
白岳,ja,白岳
白岳,zh-cn,白岳
白岳,zh-tw,白岳
白岳,ko,백악
白岳,ja-Hrkt,しらたけ
白岳,en,Shiratake
医大３丁目,ja,医大３丁目
医大３丁目,zh-cn,医科大学三丁目
医大３丁目,zh-tw,醫科大學三丁目
医大３丁目,ko,의대 3가
医大３丁目,ja-Hrkt,いだいさんちょうめ
医大３丁目,en,Idaisanchoume
桑鶴入口,ja,桑鶴入口
桑鶴入口,zh-cn,桑鹤入口
桑鶴入口,zh-tw,桑鶴入口
桑鶴入口,ko,쿠와츠루 입구
桑鶴入口,ja-Hrkt,くわづるいりぐち
桑鶴入口,en,Kuwazuru Iriguchi
庄内庁舎前,ja,庄内庁舎前
庄内庁舎前,zh-cn,庄内政府大楼前
庄内庁舎前,zh-tw,莊內政府大樓前
庄内庁舎前,ko,쇼나이 청사 앞
庄内庁舎前,ja-Hrkt,しょうないちょうしゃまえ
