trans_id,lang,translation
泉町,ja,泉町
泉町,ja-Hrkt,いずみまち
泉町,en,Izumimachi
泉町,ko,이즈미마치
泉町,zh-cn,泉町
泉町,zh-tw,泉町
亀川新川,ja,亀川新川
亀川新川,ja-Hrkt,かめがわしんかわ
亀川新川,en,Kamegawa Shinkawa
亀川新川,ko,가메가와신카와
亀川新川,zh-cn,龟川新川
亀川新川,zh-tw,龜川新川
生石,ja,生石
生石,ja-Hrkt,いくし
生石,en,Ikushi
生石,ko,이쿠시
生石,zh-cn,生石
生石,zh-tw,生石
八坂,ja,八坂
八坂,ja-Hrkt,やさか
北新田,ja,北新田
北新田,ja-Hrkt,きたしんでん
西大分,ja,西大分
西大分,ja-Hrkt,にしおおいた
鬼丸,ja,鬼丸
鬼丸,ja-Hrkt,おじまる
鬼丸,en,Ojimaru
鬼丸,ko,오지마루
鬼丸,zh-cn,鬼丸
鬼丸,zh-tw,鬼丸
王子港町,ja,王子港町
王子港町,ja-Hrkt,おうじみなとまち
別府北浜,ja,別府北浜
別府北浜,ja-Hrkt,べっぷきたはま
別府北浜,en,Beppu Kitahama
別府北浜,ko,벳푸키타하마
別府北浜,zh-cn,别府北滨
別府北浜,zh-tw,別府北濱
守江,ja,守江
守江,ja-Hrkt,もりえ
汐見町,ja,汐見町
汐見町,ja-Hrkt,しおみちょう
汐見町,en,Shiomicho
汐見町,ko,시오미초
汐見町,zh-cn,汐见町
汐見町,zh-tw,汐見町
季の坂入口,ja,季の坂入口
季の坂入口,ja-Hrkt,きのさかいりぐち
佐伯駅,ja,佐伯駅
佐伯駅,ja-Hrkt,さいきえき
佐伯駅,en,Saiki Station
佐伯駅,ko,사이키 에키
佐伯駅,zh-cn,佐伯站
佐伯駅,zh-tw,佐伯站
流川ゆめタウン前,ja,流川ゆめタウン前
流川ゆめタウン前,ja-Hrkt,ながれかわゆめたうんまえ
流川ゆめタウン前,en,Nagarekawa Yume Town Mae
流川ゆめタウン前,ko,나가레카와유메타운마에
流川ゆめタウン前,zh-cn,流川梦想城前
流川ゆめタウン前,zh-tw,流川夢想城前
大分市役所合同新聞社,ja,大分市役所合同新聞社
大分市役所合同新聞社,ja-Hrkt,おおいたしやくしょごうどうしんぶんしゃ
関の江海水浴場前,ja,関の江海水浴場前
関の江海水浴場前,ja-Hrkt,せきのえかいすいよくじょうまえ
にじが丘北,ja,にじが丘北
にじが丘北,ja-Hrkt,にじがおかきた
にじが丘北,en,Nijigaoka Kita
にじが丘北,ko,니지가오카키타
にじが丘北,zh-cn,虹丘北
にじが丘北,zh-tw,虹丘北
生石１丁目,ja,生石１丁目
生石１丁目,ja-Hrkt,いくしいっちょうめ
駄の原豊和銀行前,ja,駄の原豊和銀行前
駄の原豊和銀行前,ja-Hrkt,だのはるほうわぎんこうまえ
大分空港,ja,大分空港
大分空港,ja-Hrkt,おおいたくうこう
東別府駅前,ja,東別府駅前
東別府駅前,ja-Hrkt,ひがしべっぷえきまえ
団地南区,ja,団地南区
団地南区,ja-Hrkt,だんちみなみく
団地南区,en,Danchi Minamiku
団地南区,ko,단치미나미쿠
団地南区,zh-cn,团地南区
団地南区,zh-tw,團地南區
国東市役所前,ja,国東市役所前
国東市役所前,ja-Hrkt,くにさきしやくしょまえ
国東市役所前,en,Kunisaki Shiyakusho mae
国東市役所前,ko,구니사키시야쿠쇼마에
国東市役所前,zh-cn,国东市役所前
国東市役所前,zh-tw,國東市役所前
石垣八丁目,ja,石垣八丁目
石垣八丁目,ja-Hrkt,いしがきはっちょうめ
石垣八丁目,en,Ishigaki 8 Chome
石垣八丁目,ko,이시가키핫초메
石垣八丁目,zh-cn,石垣八丁目
石垣八丁目,zh-tw,石垣八丁目
古市/亀川,ja,古市/亀川
古市/亀川,ja-Hrkt,ふるいち　かめがわ
的ヶ浜公園前,ja,的ヶ浜公園前
的ヶ浜公園前,ja-Hrkt,まとがはまこうえんまえ
狩宿,ja,狩宿
狩宿,ja-Hrkt,かりしゅく
机張原,ja,机張原
机張原,ja-Hrkt,きちょうばる
緑町,ja,緑町
緑町,ja-Hrkt,みどりまち
照川,ja,照川
照川,ja-Hrkt,てるかわ
照川,en,Terukawa
照川,ko,데루카와
照川,zh-cn,照川
照川,zh-tw,照川
大分市営グランド前,ja,大分市営グランド前
大分市営グランド前,ja-Hrkt,おおいたしえいぐらんどまえ
富士見三丁目,ja,富士見三丁目
富士見三丁目,ja-Hrkt,ふじみさんちょうめ
安岐町役場前,ja,安岐町役場前
安岐町役場前,ja-Hrkt,あきまちやくば
安岐町役場前,en,Akimachi Yakuba
安岐町役場前,ko,아키마치야쿠바
安岐町役場前,zh-cn,安岐町役場
安岐町役場前,zh-tw,安岐町役場
天村,ja,天村
天村,ja-Hrkt,あまむら
安岐町役場,ja,安岐町役場
安岐町役場,ja-Hrkt,あきまちやくば
みのり村前,ja,みのり村前
みのり村前,ja-Hrkt,みのりむらまえ
みのり村前,en,Minorimura Mae
みのり村前,ko,미노리무라마에
みのり村前,zh-cn,御法村前
みのり村前,zh-tw,御法村前
会下,ja,会下
会下,ja-Hrkt,えげ
会下,en,Ege
会下,ko,에게
会下,zh-cn,会下
会下,zh-tw,會下
温水入口,ja,温水入口
温水入口,ja-Hrkt,ぬくみいりぐち
大塚,ja,大塚
大塚,ja-Hrkt,おおつか
大塚,en,Otsuka
大塚,ko,오쓰카
大塚,zh-cn,大冢
大塚,zh-tw,大塚
下八幡,ja,下八幡
下八幡,ja-Hrkt,しもやはた
上金谷迫,ja,上金谷迫
上金谷迫,ja-Hrkt,かみかなやさこ
APﾊｳｽ前,ja,APﾊｳｽ前
APﾊｳｽ前,ja-Hrkt,えーぴーはうすまえ
APﾊｳｽ前,en,AP House Mae
APﾊｳｽ前,ko,에피하우스마에
APﾊｳｽ前,zh-cn,ＡＰ之家前
APﾊｳｽ前,zh-tw,ＡＰ之家前
第三埠頭入口,ja,第三埠頭入口
第三埠頭入口,ja-Hrkt,だいさんふとういりぐち
第三埠頭入口,en,Daisan Futo Iriguchi
第三埠頭入口,ko,다이산후토이리구치
第三埠頭入口,zh-cn,第三埠头入口
第三埠頭入口,zh-tw,第三碼頭入口
花山団地前,ja,花山団地前
花山団地前,ja-Hrkt,はなやまだんちまえ
荷揚町,ja,荷揚町
荷揚町,ja-Hrkt,にあげまち
高松,ja,高松
高松,ja-Hrkt,たかまつ
高松,en,Takamatsu
高松,ko,다카마쓰
高松,zh-cn,高松
高松,zh-tw,高松
青葉台南,ja,青葉台南
青葉台南,ja-Hrkt,あおばだいみなみ
青葉台南,en,Aobadai Minami
青葉台南,ko,아오바다이미나미
青葉台南,zh-cn,青叶台南
青葉台南,zh-tw,青葉台南
住吉浜入口,ja,住吉浜入口
住吉浜入口,ja-Hrkt,すみよしはまいりぐち
住吉浜入口,en,Sumiyoshihama Iriguchi
住吉浜入口,ko,스미요시하마이리구치
住吉浜入口,zh-cn,住吉滨入口
住吉浜入口,zh-tw,住吉濱入口
重藤,ja,重藤
重藤,ja-Hrkt,しげふじ
杵築駅前,ja,杵築駅前
杵築駅前,ja-Hrkt,きつきえきまえ
野田,ja,野田
野田,ja-Hrkt,のだ
中平,ja,中平
中平,ja-Hrkt,なかひら
新別府,ja,新別府
新別府,ja-Hrkt,しんべっぷ
日出本町,ja,日出本町
日出本町,ja-Hrkt,ひじほんまち
日出本町,en,Hiji Hommachi
日出本町,ko,히지혼마치
