trans_id,lang,translation
新竜橋,ja,新竜橋
新竜橋,zh-cn,新龙桥
新竜橋,zh-tw,新龍橋
新竜橋,ko,신룡교
新竜橋,ja-Hrkt,しんりゅうばし
新竜橋,en,Shinryubashi
グランツたけた,ja,グランツたけた
グランツたけた,zh-cn,竹田格兰茨
グランツたけた,zh-tw,竹田格蘭茨
グランツたけた,ko,그란츠 타케타
グランツたけた,ja-Hrkt,ぐらんつたけた
グランツたけた,en,Grant Taketa
神鉢入口,ja,神鉢入口
神鉢入口,zh-cn,神鉢入口
神鉢入口,zh-tw,神鉢入口
神鉢入口,ko,신하치 입구
神鉢入口,ja-Hrkt,こうばちいりぐち
神鉢入口,en,Kobachiiriguchi
堀切,ja,堀切
堀切,zh-cn,堀切
堀切,zh-tw,堀切
堀切,ko,호리키리
堀切,ja-Hrkt,ほりきり
堀切,en,digging
草ヶ代,ja,草ヶ代
草ヶ代,zh-cn,草贺代
草ヶ代,zh-tw,草賀代
草ヶ代,ko,쿠사가시
草ヶ代,ja-Hrkt,くさがだい
草ヶ代,en,Kusadai
津久馬,ja,津久馬
津久馬,zh-cn,津久马
津久馬,zh-tw,津久馬
津久馬,ko,쓰쿠마
津久馬,ja-Hrkt,づくま
津久馬,en,Zukuma
山手,ja,山手
山手,zh-cn,山手
山手,zh-tw,山手
山手,ko,야마테
山手,ja-Hrkt,やまて
山手,en,Yamate
くず淵温泉,ja,くず淵温泉
くず淵温泉,zh-cn,葛渊温泉
くず淵温泉,zh-tw,葛淵溫泉
くず淵温泉,ko,쿠즈 후치 온천
くず淵温泉,ja-Hrkt,くずぶちおんせん
くず淵温泉,en,Kuzubuchi Onsen
下五福,ja,下五福
下五福,zh-cn,下五福
下五福,zh-tw,下五福
下五福,ko,시모고후쿠
下五福,ja-Hrkt,しもごふく
下五福,en,servant
トキハわさだタウン,ja,トキハわさだタウン
トキハわさだタウン,zh-cn,Tokiwa稙田Town
トキハわさだタウン,zh-tw,Tokiwa稙田Town
トキハわさだタウン,ko,토키하 와사다 타운
トキハわさだタウン,ja-Hrkt,ときわわさだたうん
トキハわさだタウン,en,tokiwa wasada town
谷,ja,谷
谷,zh-cn,谷
谷,zh-tw,谷
谷,ko,계곡
谷,ja-Hrkt,たに
谷,en,Tani
道の駅長湯温泉,ja,道の駅長湯温泉
道の駅長湯温泉,zh-cn,路站长汤温泉
道の駅長湯温泉,zh-tw,路站長湯溫泉
道の駅長湯温泉,ko,미치노에키 나가유 온천
道の駅長湯温泉,ja-Hrkt,みちのえきながゆおんせん
道の駅長湯温泉,en,Michi no Ekinaga Yuonsen
上野入口,ja,上野入口
上野入口,zh-cn,上野入口
上野入口,zh-tw,上野入口
上野入口,ko,우에노 입구
上野入口,ja-Hrkt,うえのいりぐち
上野入口,en,Uenoiriguchi
川床,ja,川床
川床,zh-cn,川床
川床,zh-tw,川床
川床,ko,강바닥
川床,ja-Hrkt,かわとこ
川床,en,Kawatoko
直入支所入口,ja,直入支所入口
直入支所入口,zh-cn,直入分店入口
直入支所入口,zh-tw,直入分店入口
直入支所入口,ko,직입 지점 입구
直入支所入口,ja-Hrkt,なおいりししょいりぐち
直入支所入口,en,Inoirishi Shoiriguchi
ＪＡ直入支店前,ja,ＪＡ直入支店前
ＪＡ直入支店前,zh-cn,JA直入分店前
ＪＡ直入支店前,zh-tw,JA直入分店前
ＪＡ直入支店前,ko,JA 직입 지점 앞
ＪＡ直入支店前,ja-Hrkt,じぇいえいなおいりしてんまえ
ＪＡ直入支店前,en,Please don't hesitate to ask
河原立,ja,河原立
河原立,zh-cn,河原立
河原立,zh-tw,河原立
河原立,ko,강원립
河原立,ja-Hrkt,かわらだて
河原立,en,Kawaradate
五福,ja,五福
五福,zh-cn,五福
五福,zh-tw,五福
五福,ko,고후쿠
五福,ja-Hrkt,ごふく
五福,en,Gofuku
下井手,ja,下井手
下井手,zh-cn,下井手
下井手,zh-tw,下井手
下井手,ko,시모이테
下井手,ja-Hrkt,したいで
下井手,en,want to
荻原入口,ja,荻原入口
荻原入口,zh-cn,荻原入口
荻原入口,zh-tw,荻原入口
荻原入口,ko,오기하라 입구
荻原入口,ja-Hrkt,おぎわらいりぐち
荻原入口,en,Ogiwarairiguchi
玉来,ja,玉来
玉来,zh-cn,玉来
玉来,zh-tw,玉来
玉来,ko,타마라이
玉来,ja-Hrkt,たまらい
玉来,en,endure
下折立,ja,下折立
下折立,zh-cn,下折叠
下折立,zh-tw,下折疊
下折立,ko,하절립
下折立,ja-Hrkt,しもおりたて
下折立,en,Freshly made
宇土,ja,宇土
宇土,zh-cn,宇土
宇土,zh-tw,宇土
宇土,ko,우토
宇土,ja-Hrkt,うど
宇土,en,udon
古町,ja,古町
古町,zh-cn,古町
古町,zh-tw,古町
古町,ko,후루마치
古町,ja-Hrkt,ふるまち
古町,en,furumachi
佐藤医院入口,ja,佐藤医院入口
佐藤医院入口,zh-cn,佐藤诊所入口
佐藤医院入口,zh-tw,佐藤診所入口
佐藤医院入口,ko,사토 의원 입구
佐藤医院入口,ja-Hrkt,さとういいんいりぐち
佐藤医院入口,en,Satou Inriguchi
三砂,ja,三砂
三砂,zh-cn,三砂
三砂,zh-tw,三砂
三砂,ko,삼사
三砂,ja-Hrkt,みさご
三砂,en,Misago
枝入口,ja,枝入口
枝入口,zh-cn,枝入口
枝入口,zh-tw,枝入口
枝入口,ko,가지 입구
枝入口,ja-Hrkt,えだいりぐち
枝入口,en,Edaiiriguchi
小津留,ja,小津留
小津留,zh-cn,小津留
小津留,zh-tw,小津留
小津留,ko,오즈루
小津留,ja-Hrkt,おづる
小津留,en,Ozuru
平原,ja,平原
平原,zh-cn,平原
平原,zh-tw,平原
平原,ko,평원
平原,ja-Hrkt,ひらばる
平原,en,open
上折立,ja,上折立
上折立,zh-cn,上折立
上折立,zh-tw,上折立
上折立,ko,상단 립
上折立,ja-Hrkt,かみおりたて
上折立,en,Freshly made
新屋敷入口,ja,新屋敷入口
新屋敷入口,zh-cn,新屋敷入口
新屋敷入口,zh-tw,新屋敷入口
新屋敷入口,ko,신야시키 입구
新屋敷入口,ja-Hrkt,しんやしきいりぐち
新屋敷入口,en,Shinyashikiiriguchi
松本,ja,松本
松本,zh-cn,松本
松本,zh-tw,松本
松本,ko,마츠모토
松本,ja-Hrkt,まつもと
松本,en,Matsumoto
下の原,ja,下の原
下の原,zh-cn,下之原
下の原,zh-tw,下之原
下の原,ko,아래의 원
下の原,ja-Hrkt,しものはる
下の原,en,Shimonoharu
高伏,ja,高伏
高伏,zh-cn,高伏
高伏,zh-tw,高伏
高伏,ko,고부시
高伏,ja-Hrkt,たかぶし
高伏,en,Takabushi
東中,ja,東中
東中,zh-cn,东中
東中,zh-tw,東中
東中,ko,히가시나카
東中,ja-Hrkt,ひがしなか
東中,en,Higashi Naka
馬場入口,ja,馬場入口
馬場入口,zh-cn,马場入口
馬場入口,zh-tw,馬場入口
馬場入口,ko,바바 입구
馬場入口,ja-Hrkt,ばばいりぐち
馬場入口,en,Babairiguchi
小野屋,ja,小野屋
小野屋,zh-cn,小野屋
小野屋,zh-tw,小野屋
小野屋,ko,오노야
小野屋,ja-Hrkt,おのや
小野屋,en,Onoya
原口,ja,原口
原口,zh-cn,原口
原口,zh-tw,原口
原口,ko,하라구치
原口,ja-Hrkt,はるぐち
原口,en,Haruguchi
下檪木,ja,下檪木
下檪木,zh-cn,下檪木
下檪木,zh-tw,下檪木
下檪木,ko,시모키
下檪木,ja-Hrkt,しもいちぎ
下檪木,en,Shimoichigi
下津江,ja,下津江
下津江,zh-cn,下津江
下津江,zh-tw,下津江
下津江,ko,시모쓰에
下津江,ja-Hrkt,しもつえ
下津江,en,servant
東庄内公民館前,ja,東庄内公民館前
東庄内公民館前,zh-cn,东庄内公民馆前
東庄内公民館前,zh-tw,東莊內公民館前
東庄内公民館前,ko,히가시쇼나이 공민관 앞
東庄内公民館前,ja-Hrkt,ひがししょうないこうみんかんまえ
東庄内公民館前,en,East Shonai Kouminkan mae
上市用,ja,上市用
上市用,zh-cn,上市用
上市用,zh-tw,上市用
上市用,ko,가미시용
上市用,ja-Hrkt,かみいちもち
上市用,en,Kamiichimochi
飛田川,ja,飛田川
飛田川,zh-cn,飞田川
飛田川,zh-tw,飛田川
飛田川,ko,히타가와
飛田川,ja-Hrkt,ひだがわ
飛田川,en,Hidagawa
栗戸,ja,栗戸
栗戸,zh-cn,栗户
栗戸,zh-tw,栗戶
栗戸,ko,쿠리토
栗戸,ja-Hrkt,くりと
栗戸,en,Kurito
上新道,ja,上新道
上新道,zh-cn,上新道
上新道,zh-tw,上新道
上新道,ko,가미신도
上新道,ja-Hrkt,かさしんみち
上新道,en,Kasashimichi
水口,ja,水口
水口,zh-cn,水口
水口,zh-tw,水口
水口,ko,수구
水口,ja-Hrkt,みずくち
水口,en,Mizukuchi
農協前,ja,農協前
農協前,zh-cn,农协前
農協前,zh-tw,農協前
農協前,ko,농협 전
農協前,ja-Hrkt,のうきょうまえ
農協前,en,in front of the station
直入中学校前,ja,直入中学校前
直入中学校前,zh-cn,直入初中门前
直入中学校前,zh-tw,直入初中門前
直入中学校前,ko,직입 중학교 앞
直入中学校前,ja-Hrkt,なおいりちゅうがっこうまえ
直入中学校前,en,Naoi-chuu school
大泉寺下,ja,大泉寺下
大泉寺下,zh-cn,大泉寺下
大泉寺下,zh-tw,大泉寺下
大泉寺下,ko,오이즈미지 시타
大泉寺下,ja-Hrkt,だいせんじした
大泉寺下,en,I cherished
檪木,ja,檪木
檪木,zh-cn,檪木
檪木,zh-tw,檪木
檪木,ko,檪木
檪木,ja-Hrkt,いちぎ
檪木,en,Ichigi
岩本,ja,岩本
岩本,zh-cn,岩本
岩本,zh-tw,岩本
岩本,ko,이와모토
岩本,ja-Hrkt,いわもと
岩本,en,Iwamoto
中学校前,ja,中学校前
